,0
vertex_381,0.09825987480006293
vertex_382,0.060732006286136446
vertex_383,0.043811203513190025
vertex_384,0.08657102258025387
vertex_385,0.10237113466439311
vertex_386,0.09814020539182615
vertex_387,0.06861243189050076
vertex_388,0.03967735094997159
vertex_389,0.05139696824498188
vertex_390,0.0528073116610395
vertex_391,0.04154541398187351
vertex_392,0.08110266201025472
vertex_393,0.07159663635938698
vertex_394,0.06340064818851357
vertex_395,0.04269441822174358
vertex_396,0.031542289859878905
vertex_397,0.08413126456185804
vertex_398,0.0690127096278946
vertex_399,0.0698727911023757
vertex_400,0.04553105227402787
vertex_401,0.07583183338872083
vertex_402,0.04110629952627491
vertex_403,0.03851149162809507
vertex_404,0.07999652475535965
vertex_405,0.1516156176502685
vertex_406,0.07441641115125965
vertex_407,0.10446629124351521
vertex_408,0.12475967031561852
vertex_409,0.06368196432155347
vertex_410,0.041691130921334606
vertex_411,0.07291658587162135
vertex_412,0.048728832450992764
vertex_413,0.1113891019415483
vertex_414,0.10662582817633053
vertex_415,0.0915964154608538
vertex_416,0.15303739128403784
vertex_417,0.2647756595668201
vertex_418,0.05181302156988829
vertex_419,0.08900923630727524
vertex_420,0.08835587680623358
vertex_421,0.046441603854040024
vertex_422,0.05934290916573184
vertex_423,0.04267193052694525
vertex_424,0.05620635142740048
vertex_425,0.022983021190881962
vertex_426,0.033146432857676524
vertex_427,0.014307840986590676
vertex_428,0.027364040701780272
vertex_429,0.03576453836428766
vertex_430,0.04423471998888491
vertex_431,0.05873344381034406
vertex_432,0.0481736660280396
vertex_433,0.051975810616815825
vertex_434,0.042386824467069546
vertex_435,0.07722645971299218
vertex_436,0.06272259097820755
vertex_437,0.11941109899920477
vertex_438,0.037801397182382346
vertex_439,0.13613163534612766
vertex_440,0.061223433924605296
vertex_441,0.07414714409695836
vertex_442,0.3492446571603384
vertex_443,0.15699879640101289
vertex_444,0.13397548104081736
vertex_445,0.22011290073066936
vertex_446,0.17091743478151789
vertex_447,0.03813202825370592
vertex_448,0.041064728927286125
vertex_449,0.0644541733379653
vertex_450,0.09435760768042221
vertex_451,0.14846932474855057
vertex_452,0.03856397445675915
vertex_453,0.06146852923280864
vertex_454,0.0795141684906882
vertex_455,0.10021636254989726
vertex_456,0.05869353990047071
vertex_457,0.12977895519159674
vertex_458,0.08744097589180971
vertex_459,0.052620044558233645
vertex_460,0.06838028399645844
vertex_461,0.08516186867302884
vertex_462,0.08161504336769634
vertex_463,0.09232273723150267
vertex_464,0.06559712622498028
vertex_465,0.08820506438247014
vertex_466,0.10105946351907273
vertex_467,0.07686668840027126
vertex_468,0.03608998559153547
vertex_469,0.06020237426344495
vertex_470,0.0479787699575831
vertex_471,0.03398742838962189
